personid,hour,x_latitude,y_longitude,health
1,1,51.51185,-0.1369,10
1,2,51.51185,-0.1369,10
1,3,51.51185,-0.1369,10
1,4,51.51185,-0.1369,10
1,5,51.51185,-0.1369,10
1,6,51.173,-0.13552,10
1,7,51.51173,-0.13552,9
1,8,51.51173,-0.13552,9
1,9,51.51173,-0.13552,9
1,10,51.51145,-0.13644,9
1,11,51.51145,-0.13644,9
1,12,51.51127,-0.136,9
1,13,51.51146,-0.1356,5
1,14,51.51204,-0.13585,5
1,15,51.51271,-0.13644,5
1,16,51.51232,-0.13615,5
1,17,51.51236,-0.13768,5
1,18,51.51255,-0.13711,3
1,19,51.51207,-0.13836,3
1,20,51.51234,-0.13886,3
1,21,51.51234,-0.13886,3
1,22,51.5126,-0.13924,2
1,23,51.51281,-0.13948,1
1,24,51.51281,-0.13948,0
